# name,# catalog-job 2021-10-09
# SQL,"# -- Simple area search based on the range of RA and Dec getting all object
# -- with i band Kron magnitudes smaller than 25.5, and in the area in
# -- the range RA J2000 between 34.0 and 36.0 degrees and Dec J2000 -5.0
# -- and -4.5 degrees.
# 
# -- WARNING:
# --   --> Remove 'LIMIT 10' for your query
# --   --> Edit the schema name 'pdr3_dud' for your query.
# 
# SELECT
#     object_id
#       , ra
#       , dec
# 	  , tract
# 	  , patch
#       , i_kronflux_mag
#       , i_kronflux_magerr
#       , y_kronflux_mag
#       , y_kronflux_magerr
#       , i_kronflux_mag - y_kronflux_mag AS i_y
#     FROM
#     pdr3_dud.forced
#     JOIN pdr3_dud.forced2 USING (object_id)
#     WHERE
#     isprimary
#     AND boxSearch(coord, 34.0, 36.0, -5.0, -4.5)
#           /* is equivalent to
37489936303155650,35.07452732026946,-4.832222908263455,8524,706,25.108654,0.0573477149,26.2706089,0.620506346,-1.16195488
37489936303156581,35.07393163370845,-4.823659698460907,8524,706,24.5304794,0.0972628221,24.0555782,0.229437232,0.474901199
37489932008192505,35.08439875967279,-4.997343292337919,8524,705,24.4849892,0.0324480571,23.8839626,0.0647835732,0.601026535
37489932008192514,35.083776388950135,-4.998892609252412,8524,705,23.9994907,0.0819961205,23.2653275,0.148899749,0.734163284
37489932008193376,35.084259808483466,-4.993115457378119,8524,705,25.3013802,0.0979337096,24.6564369,0.199996188,0.644943237
37489932008169562,35.07432888297189,-4.948789557715802,8524,705,25.3125515,0.116347402,25.3400574,0.447992504,-0.0275058746
37489932008193734,35.076526175625894,-4.990062939335788,8524,705,22.4774055,0.00485916249,22.1980667,0.0138512012,0.279338837
37489932008194945,35.076162672293606,-4.980832821312725,8524,705,23.7976131,0.0129034249,23.1987419,0.027715072,0.598871231
37489932008194947,35.075788597115896,-4.978294701483637,8524,705,24.5440693,0.0501367711,24.9963341,0.284453064,-0.452264786
37489932008197083,35.07468757835406,-4.962085981172353,8524,705,23.3443336,0.00860608369,23.1715736,0.0274429955,0.17276001
37489932008197084,35.075154311697915,-4.962910568822985,8524,705,24.6980438,0.0245943684,24.1174927,0.0538958572,0.580551147
37489932008197376,35.07451016100796,-4.959306570572942,8524,705,24.85359,0.0269806478,24.6623554,0.0864673257,0.191234589
37489932008197595,35.074457139932356,-4.957256391776272,8524,705,22.5278683,0.00626257528,21.7647476,0.0114681944,0.763120651
37489932008197789,35.07457795057234,-4.953143285618891,8524,705,24.1418266,0.0191068761,23.5007191,0.0394269563,0.641107559
37489932008197797,35.07474956440369,-4.9553647738310405,8524,705,25.4007683,0.072012879,24.4851265,0.114782289,0.915641785
37489932008198685,35.074287755000064,-4.946093519311581,8524,705,23.7927113,0.0121049834,23.0361137,0.0216955971,0.756597519
37489932008198692,35.07379234410401,-4.944618273485211,8524,705,24.9759598,0.0606162511,25.0400448,0.23615405,-0.0640850067
37489932008199159,35.07318706312866,-4.937546519230599,8524,705,nan,nan,nan,nan,nan
37489932008200292,35.073116446539366,-4.933918151921804,8524,705,nan,nan,nan,nan,nan
37489936303146948,35.07122894201278,-4.900302327825433,8524,706,24.270607,0.0493618771,23.5506744,0.0940510184,0.719932556
37489936303148486,35.07100252409787,-4.892133605894067,8524,706,23.4147453,0.0277077388,22.6152668,0.0494592302,0.799478531
37489936303148499,35.07097761915437,-4.891278948198858,8524,706,nan,nan,nan,nan,nan
37489936303148853,35.07090506400883,-4.887364354290523,8524,706,23.3173866,0.0107380664,22.7528839,0.0239320006,0.564502716
37489936303152430,35.069250551057785,-4.861064321794767,8524,706,23.7076283,0.0552957356,22.9246216,0.100647762,0.783006668
37489932008200365,35.09130688322755,-4.931195995877502,8524,705,23.6886311,0.0148607483,23.1175003,0.0321116708,0.571130753
37489932008200366,35.09103502740671,-4.927115513252519,8524,705,23.7073517,0.0160411969,22.6327057,0.0219519529,1.074646
37489932008200372,35.09100153054377,-4.927698226341938,8524,705,24.963295,0.0423002392,23.6410122,0.0460698195,1.32228279
37489932008200380,35.092350716871,-4.932206753244162,8524,705,24.5267353,0.0475449786,24.2271843,0.13174744,0.29955101
37489932008200386,35.09157404163018,-4.932056793971963,8524,705,25.4641953,0.0946811065,23.2579365,0.0451906025,2.20625877
37489936303128814,35.09173681371831,-4.925216326755788,8524,706,25.172987,0.0723456666,24.7782173,0.180716097,0.394769669
37489936303144684,35.095358639983786,-4.920383588191949,8524,706,23.384243,0.0141495224,23.2635651,0.0461500511,0.120677948
37489936303144687,35.09589163887787,-4.921330715902505,8524,706,23.877224,0.021890061,23.0507126,0.0371471681,0.826511383
37489936303144688,35.094516741193615,-4.921989944413873,8524,706,24.313036,0.0252463948,24.1588097,0.0784759298,0.154226303
37489936303145495,35.095225883033905,-4.914178341636975,8524,706,25.1547184,0.0389259271,24.7383423,0.098018162,0.416376114
37489936303145506,35.096498485615726,-4.914446417884783,8524,706,24.7625866,0.136660352,24.1430759,0.28804791,0.619510651
37489936303145862,35.09588017479009,-4.911949227819771,8524,706,24.5486698,0.107829556,24.3590698,0.33460927,0.189599991
37489936303146249,35.097121423631144,-4.909035329588454,8524,706,22.9017677,0.00870494172,22.5843716,0.0237887651,0.317396164
37489936303146251,35.09689181697161,-4.904683934301412,8524,706,23.9542503,0.0215505138,23.7108822,0.0633519217,0.243368149
37489936303146260,35.0967038483336,-4.9064269910134914,8524,706,24.7808151,0.0500555709,24.3248577,0.120410539,0.455957413
37489936303146277,35.09746537146781,-4.908024085871719,8524,706,25.3557873,0.148270607,24.1687222,0.183734015,1.18706512
37489932008200374,35.08848584175915,-4.927495877470819,8524,705,24.5391426,0.0452356674,24.1722603,0.119276762,0.366882324
37489936303131514,35.08420812794412,-4.850874704005551,8524,706,24.5542469,0.117051095,23.4898453,0.161522359,1.06440163
37489936303144619,35.08840628308174,-4.922823039417706,8524,706,24.228363,0.020122258,23.8768196,0.0534653887,0.351543427
37489936303145373,35.08882917489787,-4.915789169726069,8524,706,24.6759033,0.0238627922,24.0876217,0.0520525388,0.588281631
37489936303145374,35.08904217476332,-4.916112985711029,8524,706,24.2616291,0.0345218219,24.8168774,0.214407638,-0.55524826
37489936303145375,35.088651681205306,-4.913826248334994,8524,706,24.5125256,0.0397950523,24.3393192,0.125767648,0.173206329
37489936303145376,35.08916219322622,-4.915102949165936,8524,706,25.0385342,0.03888423,24.4718494,0.0863244459,0.566684723
37489936303145380,35.08817740725871,-4.915114925206009,8524,706,25.477047,0.0629328713,25.6365852,0.271638542,-0.159538269
37489936303145850,35.088141146862306,-4.911784823114128,8524,706,23.3588715,0.0139287375,22.9399071,0.0352592282,0.418964386
37489936303145853,35.08776381116224,-4.911045424669252,8524,706,25.0613441,0.153740659,24.2988739,0.279805034,0.762470245
37489936303146211,35.08863576470637,-4.909378167938837,8524,706,23.1131477,0.0112484125,22.4363194,0.0222921167,0.676828384
37489936303146572,35.08872782244964,-4.905967148896042,8524,706,24.9654198,0.125073239,24.5335617,0.312253356,0.431858063
37489936303146871,35.08777246171968,-4.904269305671638,8524,706,24.8407631,0.0564159118,24.3376255,0.132158726,0.503137589
37489936303147903,35.08740400875883,-4.898203459879476,8524,706,23.107769,0.00827654917,22.1399574,0.0123963729,0.967811584
37489936303147929,35.08793131175162,-4.894538164062539,8524,706,23.8083878,0.0567477494,22.9545555,0.0954466313,0.853832245
37489936303149133,35.08644007147519,-4.893442563997208,8524,706,23.937746,0.0181095004,22.5498352,0.0189303607,1.38791084
37489936303149141,35.086379804073424,-4.892479074576824,8524,706,25.1926041,0.0437592715,24.4264832,0.0807882324,0.766120911
37489936303149160,35.08687291424681,-4.892863841111295,8524,706,24.7180119,0.0903011486,23.5981712,0.121213049,1.11984062
37489936303149815,35.08716889668641,-4.879417333894374,8524,706,23.4759579,0.0212499443,22.4477291,0.0304465163,1.02822876
37489936303150389,35.08510860977103,-4.870426293027417,8524,706,25.0736542,0.0611077175,24.9437752,0.196238875,0.129878998
37489936303150391,35.08562181791871,-4.87308616236085,8524,706,25.2988758,0.0690458938,24.7228298,0.149611637,0.57604599
37489936303151576,35.08594240586202,-4.867715572441994,8524,706,23.9886627,0.0897800177,22.8921661,0.118896537,1.09649658
37489936303151577,35.0850290320335,-4.867259450501632,8524,706,24.7525597,0.116869465,23.9783993,0.207687542,0.774160385
37489936303151895,35.08599263168008,-4.8638846953959,8524,706,24.2955894,0.0306654777,24.0244083,0.0883523971,0.271181107
37489936303153986,35.08426744464142,-4.845256143898889,8524,706,24.1934032,0.0156947803,24.030632,0.0494525284,0.162771225
37489936303154553,35.08413441392019,-4.8405112407490245,8524,706,22.6492271,0.0055194567,22.3820267,0.0159527957,0.26720047
37489936303154559,35.0843495055869,-4.841760588202475,8524,706,24.4866199,0.0278285127,24.2310143,0.0804658458,0.255605698
37489932008193057,35.10943777539693,-4.996777461302533,8524,705,21.2477264,0.00184072764,20.8761559,0.00475859502,0.371570587
37489932008193058,35.10969985817201,-4.997978656990087,8524,705,24.6824875,0.0401664041,24.7117538,0.154249206,-0.0292663574
37489932008193060,35.11015244086012,-4.996963429696102,8524,705,24.7250233,0.0769212916,25.4158707,0.535646975,-0.690847397
37489932008193197,35.10949621336314,-4.994844002527208,8524,705,23.1890526,0.00933752954,22.7822075,0.0239006281,0.406845093
37489932008193198,35.109965134296104,-4.994574901527101,8524,705,24.0358582,0.0235924702,23.4950161,0.0536831357,0.540842056
37489932008193424,35.10894630429106,-4.986576557173707,8524,705,21.5744514,0.0178881139,21.4770641,0.0534540676,0.0973873138
37489932008194481,35.10843862912703,-4.983652541186787,8524,705,24.1079865,0.0242648795,23.6140728,0.0568949319,0.493913651
37489932008194483,35.10895543090742,-4.983908927396915,8524,705,25.1912003,0.0773982704,25.4025898,0.345283568,-0.211389542
37489932008168010,35.110494351040856,-4.982427273015632,8524,705,24.8986359,0.129185557,23.9482174,0.198699266,0.950418472
37489932008168066,35.110405833315674,-4.981178134222452,8524,705,25.2431927,0.0556844771,25.3575058,0.230055928,-0.114313126
37489932008193059,35.110922291316896,-4.996661562625575,8524,705,24.9687576,0.0554165952,24.4698772,0.130192459,0.498880386
37489932008193092,35.111339207465335,-4.993887816237776,8524,705,24.7504082,0.0264918469,24.4620037,0.0757803917,0.288404465
37489932008193199,35.11027616699845,-4.995453062571269,8524,705,24.0551338,0.0750015453,23.0657845,0.112487473,0.989349365
37489932008193417,35.11045065320465,-4.98500336414179,8524,705,23.2217579,0.0088588614,22.6865406,0.0201644693,0.535217285
